model,variant,latent_channels,residual_blocks,power_normalization,train_snrs,train_channel,snr_db,samples,parameters,bandwidth_ratio,training_seconds,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,inference_ms_mean,inference_ms_std
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,-10,20,81779,0.16666666666666666,10.16456049999988,0.008431477472186089,0.0018235894359942288,20.83790397644043,0.9416493376946931,0.502982921898365,0.08054891728186488,13.35724499999742,45.414869214422765
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,-5,20,81779,0.16666666666666666,10.16456049999988,0.005576677713543176,0.0014732723056254504,22.677602767944336,1.130338356304768,0.5992622300982475,0.09479849699112279,3.6262849999275204,1.4365585206760805
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,0,20,81779,0.16666666666666666,10.16456049999988,0.004520905099343509,0.0012625872059637353,23.60123167037964,1.1698170905934842,0.6505370453000069,0.09618143609467149,3.2891249999693173,1.3268680185948571
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,5,20,81779,0.16666666666666666,10.16456049999988,0.004157545859925449,0.0011601430855682697,23.96424789428711,1.1654876813462836,0.6739857614040374,0.09355771686353449,3.4854149999773654,1.7765652073300482
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,10,20,81779,0.16666666666666666,10.16456049999988,0.004040018911473453,0.0011321749528929125,24.0895956993103,1.1676733684884963,0.6826791316270828,0.09217783444020901,3.0771449999747347,1.706283829799538
improved_c32_random,improved,32,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,-10,20,128003,0.3333333333333333,10.930949099999907,0.007023409893736243,0.0013812657660483493,21.61608180999756,0.8693513446502054,0.516393457353115,0.05414378677734835,12.977119999936804,45.82409200348333
improved_c32_random,improved,32,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,-5,20,128003,0.3333333333333333,10.930949099999907,0.004604924272280186,0.001157759816623993,23.498286628723143,1.0948472142445924,0.6281532377004624,0.07153235188249278,2.620970000066336,0.9929701645159226
improved_c32_random,improved,32,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,0,20,128003,0.3333333333333333,10.930949099999907,0.0037759375525638463,0.001001555705274994,24.371764373779296,1.1356855614477948,0.6869774162769318,0.07599893878520646,2.7453550000018367,1.2491679547912975
improved_c32_random,improved,32,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,5,20,128003,0.3333333333333333,10.930949099999907,0.0035086317802779377,0.0009330727111694448,24.689109992980956,1.124679036444575,0.713459649682045,0.07541223223693823,2.7542700000594778,1.1365530205089127
improved_c32_random,improved,32,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,10,20,128003,0.3333333333333333,10.930949099999907,0.003426229243632406,0.0009039179526824225,24.789419841766357,1.1114492018892979,0.723313745856285,0.07443463877420486,2.920375000076092,1.1455315318362316
improved_c16_fixed5,improved,16,1,True,5.0,awgn,-10,20,81779,0.16666666666666666,9.620244000000184,0.039746053889393805,0.003968569948561167,14.02906756401062,0.4561493399621924,0.19269056096673012,0.034905405948484104,14.08037000001059,47.47168977575962
improved_c16_fixed5,improved,16,1,True,5.0,awgn,-5,20,81779,0.16666666666666666,9.620244000000184,0.012683106865733863,0.0018752362193941677,19.012286853790282,0.6359992595726415,0.3852924212813377,0.03815504303700831,3.5951300000078845,1.3247609094520205
